risk_band,records,portfolio_share,mean_recalibrated_pd,minimum_recalibrated_pd,maximum_recalibrated_pd,within_cutoff_count,within_cutoff_rate
low,593,0.596579476861,0.062535473379,0.011506089136,0.099978886541,593,1.000000000000
moderate,248,0.249496981891,0.120675122022,0.100015074254,0.149862176871,248,1.000000000000
high,136,0.136820925553,0.180242233445,0.150548909404,0.246901358764,0,0.000000000000
very_high,17,0.017102615694,0.284776486283,0.250552289794,0.457616655983,0,0.000000000000
