selection_sample,max_pd_cutoff,incumbent_policy,growth_candidate,within_cutoff_change_limit,lgd,approved_accounts,rejected_accounts,approval_rate,approved_observed_defaults,approved_default_rate,approved_exposure,expected_loss,expected_loss_rate,realized_loss_proxy,realized_loss_rate_proxy,gross_interest_income_proxy,expected_credit_contribution_proxy,realized_credit_contribution_proxy,rejected_default_capture_rate,max_bad_rate_constraint,max_expected_loss_rate_constraint,max_cutoff_increase_constraint,meets_bad_rate_constraint,meets_expected_loss_rate_constraint,eligible_growth_challenger,selected_challenger
pre_oot_calibration_holdout,0.1000000000,False,False,True,0.4500000000,533,441,0.5472279261,32,0.0600375235,9283804.4000000004,273064.4186739379,0.0294129871,245482.1370000000,0.0264419764,546159.6106840000,273095.1920100620,300677.4736840000,0.6923076923,0.1300000000,0.0600000000,0.0500000000,True,True,False,False
pre_oot_calibration_holdout,0.1500000000,True,False,True,0.4500000000,769,205,0.7895277207,64,0.0832249675,13996014.0100000016,533298.1688281605,0.0381035749,520612.1775000000,0.0371971746,863032.3918330000,329734.2230048395,342420.2143330000,0.3846153846,0.1300000000,0.0600000000,0.0500000000,True,True,False,False
pre_oot_calibration_holdout,0.2000000000,False,True,True,0.4500000000,893,81,0.9168377823,80,0.0895856663,16681032.6600000001,740535.5609387454,0.0443938679,680469.1740000000,0.0407929885,1079979.3580399998,339443.7971012545,399510.1840399998,0.2307692308,0.1300000000,0.0600000000,0.0500000000,True,True,True,True
pre_oot_calibration_holdout,0.2500000000,False,True,False,0.4500000000,941,33,0.9661190965,96,0.1020191286,17959480.1699999981,866932.4691514790,0.0482715792,897711.8310000000,0.0499854017,1196753.3327400000,329820.8635885210,299041.5017400000,0.0769230769,0.1300000000,0.0600000000,0.0500000000,True,True,False,False
