evaluation_sample,policy,max_pd_cutoff,lgd,approved_accounts,rejected_accounts,approval_rate,approved_observed_defaults,approved_default_rate,approved_exposure,expected_loss,expected_loss_rate,realized_loss_proxy,realized_loss_rate_proxy,gross_interest_income_proxy,expected_credit_contribution_proxy,realized_credit_contribution_proxy,rejected_default_capture_rate
out_of_time,incumbent,0.1500000000,0.4500000000,841,153,0.8460764588,115,0.1367419738,15700048.9499999993,588971.4834043350,0.0375139903,926453.1150000000,0.0590095686,1198557.8689400000,609586.3855356650,272104.7539400000,0.3352601156
out_of_time,challenger,0.2000000000,0.4500000000,948,46,0.9537223340,153,0.1613924051,18608893.8200000003,811795.3174564992,0.0436240502,1383833.2590000001,0.0743640795,1516359.7772710000,704564.4598145008,132526.5182709999,0.1156069364
