model,model_development_accounts,calibration_holdout_accounts,model_development_start,model_development_end,calibration_holdout_start,calibration_holdout_end,calibration_holdout_roc_auc,selected_model
logistic_regression,3032,974,2018-01-01,2020-12-01,2021-01-01,2021-12-01,0.6700044208664898,True
random_forest,3032,974,2018-01-01,2020-12-01,2021-01-01,2021-12-01,0.6424071618037135,False
