split,observations,model_mae,persistence_mae,mae_improvement_vs_persistence,model_rmse,persistence_rmse,rmse_improvement_vs_persistence
development,44,0.00078920612108849262,0.00078116573409090916,-0.010292805542655496,0.0011488252810230059,0.0011751034852117057,0.022362459578583894
validation,12,0.00020212789249782781,0.0001916246166666667,-0.054811725204552839,0.00028406822619117159,0.00027540922647740666,-0.03144048521727822
oot,12,0.00051242778747701489,0.00051062826666666689,-0.0035241308165235409,0.00065163062452172366,0.00066201231032724775,0.015682013224787589
