variant,candidate_id,forecast_horizon_quarters,evidence_window,evidence_freshness,observations,model_mae,persistence_mae,mae_improvement_vs_persistence,model_rmse,persistence_rmse,rmse_improvement_vs_persistence,mae_reduction_vs_incumbent,rmse_reduction_vs_incumbent
incumbent_satellite,contemporaneous_logit_level,1,2019Q1-2021Q4,reused_oot,12,0.00060098218098977993,0.00051062826666666689,-0.17694655823292912,0.00086435707526497129,0.00066201231032724775,-0.30565106083556048,0,0
selected_remediation,dynamic_ratio_change_lagged_macro,1,2019Q1-2021Q4,reused_oot,12,0.00051242778747701489,0.00051062826666666689,-0.0035241308165235409,0.00065163062452172366,0.00066201231032724775,0.015682013224787589,0.14734944947439457,0.24610945734207784
