candidate_id,target_form,forecast_horizon_quarters,feature_count,alpha,validation_observations,validation_model_mae,validation_persistence_mae,validation_mae_ratio,validation_model_rmse,validation_persistence_rmse,validation_rmse_ratio,selection_score,selected
dynamic_ratio_change_lagged_macro,ratio_change,1,3,0.01,12,0.0003155518640978148,0.0001916246166666667,1.6467188276061684,0.0004299734772310045,0.00027540922647740666,1.5612166764728108,1.6039677520394897,False
dynamic_ratio_change_lagged_macro,ratio_change,1,3,0.10000000000000001,12,0.00031520747606410401,0.0001916246166666667,1.6449216261833999,0.00042952139479423434,0.00027540922647740666,1.5595751830393756,1.6022484046113878,False
dynamic_ratio_change_lagged_macro,ratio_change,1,3,1,12,0.00031182768947137841,0.0001916246166666667,1.6272840874813406,0.00042510446391943692,0.00027540922647740666,1.5435374818654108,1.5854107846733756,False
dynamic_ratio_change_lagged_macro,ratio_change,1,3,10,12,0.00028340969311230663,0.0001916246166666667,1.4789837445848681,0.000389534694849429,0.00027540922647740666,1.414385058306624,1.4466844014457461,False
dynamic_ratio_change_lagged_macro,ratio_change,1,3,100,12,0.00020088511750033185,0.0001916246166666667,1.0483262588844413,0.00029875776603722191,0.00027540922647740666,1.0847776229520425,1.066551940918242,False
dynamic_ratio_change_lagged_macro,ratio_change,1,3,1000,12,0.00020212789249782781,0.0001916246166666667,1.0548117252045528,0.00028406822619117159,0.00027540922647740666,1.0314404852172783,1.0431261052109155,True
dynamic_ratio_change_lagged_macro,ratio_change,1,3,10000,12,0.00020634085372791289,0.0001916246166666667,1.0767972159174375,0.00028501910857325641,0.00027540922647740666,1.0348931015084859,1.0558451587129616,False
logit_change_lagged_macro,logit_change,1,3,0.01,12,0.00028534039515291671,0.0001916246166666667,1.4890591830864284,0.00036028749675105933,0.00027540922647740666,1.3081896396837516,1.3986244113850899,False
logit_change_lagged_macro,logit_change,1,3,0.10000000000000001,12,0.00028507427411289375,0.0001916246166666667,1.48767042080394,0.00036003584847588924,0.00027540922647740666,1.3072759147574344,1.3974731677806873,False
logit_change_lagged_macro,logit_change,1,3,1,12,0.00028246356567840418,0.0001916246166666667,1.4740463443157354,0.00035758054660440792,0.00027540922647740666,1.29836081084866,1.3862035775821977,False
logit_change_lagged_macro,logit_change,1,3,10,12,0.00026059619365463642,0.0001916246166666667,1.3599306716837252,0.0003380650517125447,0.00027540922647740666,1.2275008213651042,1.2937157465244147,False
logit_change_lagged_macro,logit_change,1,3,100,12,0.00020573255603288871,0.0001916246166666667,1.0736227923720414,0.00029229383716272386,0.00027540922647740666,1.0613073530661195,1.0674650727190804,False
logit_change_lagged_macro,logit_change,1,3,1000,12,0.0002083262316466395,0.0001916246166666667,1.0871579824685336,0.00028802118491082885,0.00027540922647740666,1.045793521861029,1.0664757521647812,False
logit_change_lagged_macro,logit_change,1,3,10000,12,0.00021106360151961468,0.0001916246166666667,1.1014430462593559,0.00028913630116707734,0.00027540922647740666,1.0498424648485651,1.0756427555539605,False
ratio_change_lagged_macro,ratio_change,1,2,0.01,12,0.00035817296765467142,0.0001916246166666667,1.8691385996493215,0.00045946574451476705,0.00027540922647740666,1.668301931607435,1.7687202656283783,False
