evaluation_sample,policy,max_pd_cutoff,lgd,approved_accounts,rejected_accounts,approval_rate,approved_observed_defaults,approved_default_rate,approved_exposure,expected_loss,expected_loss_rate,realized_loss_proxy,realized_loss_rate_proxy,gross_interest_income_proxy,expected_credit_contribution_proxy,realized_credit_contribution_proxy,rejected_default_capture_rate
out_of_time,incumbent,0.1500000000,0.4500000000,65820,159819,0.2917048914,5177,0.0786539046,800339550.0000000000,35205066.5637285709,0.0439876632,30529563.7500000000,0.0381457642,65315338.4025000036,30110271.8387714326,34785774.6525000036,0.8922423662
out_of_time,challenger,0.2000000000,0.4500000000,101696,123943,0.4507022279,10919,0.1073690214,1249726975.0000000000,70570585.1897410899,0.0564688021,63513303.7500000000,0.0508217435,115332061.2224999964,44761476.0327589065,51818757.4724999964,0.7727244344
