max_pd_cutoff,lgd,approved_accounts,rejected_accounts,approval_rate,approved_observed_defaults,approved_default_rate,approved_exposure,expected_loss,expected_loss_rate,rejected_default_capture_rate
0.1,0.45,31344,194295,0.13891215614321992,1512,0.04823889739663093,399178175.0,12496463.144764956,0.031305476920838564,0.9685281934933289
0.15,0.45,65820,159819,0.2917048914416391,5177,0.07865390458827104,800339550.0,35205066.563728586,0.04398766319086516,0.8922423662136003
0.2,0.45,101696,123943,0.4507022278950004,10919,0.1073690213971051,1249726975.0,70570585.1897411,0.05646880206754048,0.772724434360885
0.25,0.45,132575,93064,0.587553570083186,17274,0.13029605883462192,1671065875.0,113188261.48719995,0.06773417085499395,0.6404470994733884
