feature,importance_mean,importance_std
interest_rate,0.13669485814700436,0.0015257854087366745
home_ownership,0.00881502174154487,0.00021711089855642806
loan_to_income,0.008332843735712848,0.00023953905955546826
debt_to_income,0.006143750136742976,0.0003446464437246256
loan_amount,0.004169937443336014,0.0002228306716206264
purpose,0.0018319194633385938,0.0001590581053503531
employment_length,0.0013500350496514213,0.00010014589025057615
annual_income,0.0008593326515672683,0.00010853774072374265
credit_utilisation,0.0008221035384968877,9.895799105830863e-05
delinquencies_2y,0.0004386177451732198,6.503151011403708e-05
age,0.0,0.0
